,fecha,origen,destino,periodo,distancia,viajes
3821357,20200214,2807905,2807901,21,002-005,8.158
3821358,20200214,2807905,2807901,22,002-005,4.708
3821359,20200214,2807905,2807901,8,002-005,9.886
3821360,20200214,2807905,2807901,15,002-005,13.376
3821361,20200214,2807905,2807901,16,002-005,6.508
3821362,20200214,2807905,2807901,16,002-005,11.047
3821363,20200214,2807905,2807901,17,002-005,5.604
3821364,20200214,2807905,2807901,16,002-005,5.394
3821365,20200214,2807905,2807901,13,002-005,5.541
3821366,20200214,2807905,2807901,15,005-010,9.913
3821367,20200214,2807905,2807901,18,002-005,6.746
3821368,20200214,2807905,2807901,19,005-010,5.814
3821369,20200214,2807905,2807901,20,005-010,5.541
3821370,20200214,2807905,2807901,17,002-005,15.141
3821371,20200214,2807905,2807901,17,005-010,7.142
3821372,20200214,2807905,2807901,20,002-005,7.46
3821373,20200214,2807905,2807901,21,002-005,19.805
3821374,20200214,2807905,2807901,2,002-005,5.181
3821376,20200214,2807905,2807901,0,002-005,72.827
3821377,20200214,2807905,2807901,0,005-010,21.438
3821379,20200214,2807905,2807901,1,002-005,43.158
3821380,20200214,2807905,2807901,1,005-010,28.051
3821381,20200214,2807905,2807901,2,002-005,58.549
3821382,20200214,2807905,2807901,2,005-010,14.36
3821383,20200214,2807905,2807901,3,002-005,20.283
3821384,20200214,2807905,2807901,3,005-010,9.938
3821385,20200214,2807905,2807901,4,002-005,27.552
3821386,20200214,2807905,2807901,4,005-010,5.307
3821387,20200214,2807905,2807901,5,002-005,46.617
3821388,20200214,2807905,2807901,5,005-010,34.728
3821389,20200214,2807905,2807901,6,002-005,48.866
3821390,20200214,2807905,2807901,6,005-010,38.598
3821391,20200214,2807905,2807901,7,002-005,113.293
3821392,20200214,2807905,2807901,7,005-010,83.241
3821394,20200214,2807905,2807901,8,002-005,175.343
3821395,20200214,2807905,2807901,8,005-010,124.1
3821397,20200214,2807905,2807901,9,002-005,239.414
3821398,20200214,2807905,2807901,9,005-010,142.403
3821399,20200214,2807905,2807901,10,002-005,347.99
3821400,20200214,2807905,2807901,10,005-010,116.776
3821402,20200214,2807905,2807901,11,002-005,395.593
3821403,20200214,2807905,2807901,11,005-010,150.366
3821405,20200214,2807905,2807901,12,002-005,335.938
3821406,20200214,2807905,2807901,12,005-010,226.527
3821407,20200214,2807905,2807901,13,002-005,364.018
3821408,20200214,2807905,2807901,13,005-010,173.687
3821410,20200214,2807905,2807901,14,002-005,521.032
3821411,20200214,2807905,2807901,14,005-010,192.313
3821413,20200214,2807905,2807901,15,002-005,528.992
3821414,20200214,2807905,2807901,15,005-010,311.077
3821416,20200214,2807905,2807901,16,002-005,513.423
3821417,20200214,2807905,2807901,16,005-010,203.386
3821419,20200214,2807905,2807901,17,002-005,635.554
3821420,20200214,2807905,2807901,17,005-010,214.38
3821421,20200214,2807905,2807901,18,002-005,425.053
3821422,20200214,2807905,2807901,18,005-010,276.603
3821423,20200214,2807905,2807901,19,002-005,491.274
3821424,20200214,2807905,2807901,19,005-010,259.515
3821426,20200214,2807905,2807901,20,002-005,518.177
3821427,20200214,2807905,2807901,20,005-010,289.985
3821429,20200214,2807905,2807901,21,002-005,372.884
3821430,20200214,2807905,2807901,21,005-010,186.97
3821432,20200214,2807905,2807901,22,002-005,310.581
3821433,20200214,2807905,2807901,22,005-010,143.549
3821435,20200214,2807905,2807901,23,002-005,219.172
3821436,20200214,2807905,2807901,23,005-010,96.153
3821437,20200214,2807905,2807901,0,002-005,9.662
3821438,20200214,2807905,2807901,13,002-005,5.088
3821439,20200214,2807905,2807901,14,002-005,5.142
3821440,20200214,2807905,2807901,18,005-010,6.661
3821441,20200214,2807905,2807901,20,002-005,5.142
3821442,20200214,2807905,2807901,20,005-010,6.096
3821443,20200214,2807905,2807901,21,002-005,4.518
3821444,20200214,2807905,2807901,23,002-005,4.935
3821445,20200214,2807905,2807901,11,002-005,5.957
3821446,20200214,2807905,2807901,12,002-005,3.969
3821447,20200214,2807905,2807901,14,002-005,6.303
3821448,20200214,2807905,2807901,15,002-005,4.916
3821449,20200214,2807905,2807901,17,002-005,6.37
3821450,20200214,2807905,2807901,17,005-010,3.969
3821451,20200214,2807905,2807901,18,002-005,12.95
3821452,20200214,2807905,2807901,18,005-010,3.969
3821453,20200214,2807905,2807901,19,005-010,3.969
3821454,20200214,2807905,2807901,21,005-010,4.734
3821455,20200214,2807905,2807901,23,002-005,6.52
3821456,20200214,2807905,2807901,13,002-005,8.7
3821457,20200214,2807905,2807901,14,002-005,15.246
3821458,20200214,2807905,2807901,19,002-005,7.265
3821459,20200214,2807905,2807901,20,002-005,6.43
3821460,20200214,2807905,2807901,20,005-010,25.167
3821461,20200214,2807905,2807901,11,002-005,4.198
3821462,20200214,2807905,2807901,16,002-005,4.198
3821463,20200214,2807905,2807901,8,005-010,7.13
3821464,20200214,2807905,2807901,11,002-005,7.679
